Image Name,Keywords
Schmidt's Red-tailed Monkey,NZP-20150909-0206MM,"Class: Mammalia,Family: Cercopithecidae,Genus: Cercopithecus,Kingdom: Animalia,Monkey,Order: Primates,Phylum: Chordata,Primate,Red-tailed Guenon,Schmidt's Red-tailed Monkey,Species: ascanius,Think Tank"
Red-footed Tortoise,NZP-2558-30JC,"Species: carbonaria,Genus: Geochelone,Family: Testudinidae,Order: Testudines,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Tortoise"
Vietnamese Mossy Frog,NZP-20060711-228JC,"Species: corticale,Genus: Theloderma,Family: Rhacophoridae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amphibian"
Hawk-headed Parrot,NZP-20181114-4286SB,"Species: accipitrinus,Genus: Deroptyus,Family: Psittacidae,Order: Psittaciformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Hawk-headed Parrot,Red-fan Parrot,Parrot,Bird,Amazonia"
Clouded Leopard Cub,NZP-20190904_0435SP,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,NZP,Open Access,Open Access/CCO,CCO,Kingdom: Animalia,Phylum: Chordata,Class: Mammalia,Order: Carnivora,Family: Felidae/Pantherinae,Genus and Species: Neofelis nebulosa,Mammals,Carnivores,Couded Leopards"
Prehensile-tailed Porcupine,NZP-20100615-034MM,"Clark,Species: prehensilis,Genus: Coendou,Family: Erethizontidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Rodent,Prehensile-tailed Porcupine,Porcupine,SMH,Small Mammal House,Brazilian Porcupine,Coendu,male,horizontal"
Fennec Fox,NZP-20160306-3028CN,"Fennec Fox,SMH,Small Mammal House,Species: zerda,Genus: Vulpes,Family: Canidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Fox,Canine,hand rearing,Animal Care Staff"
Caracal,NZP-20060822-136JC-000001,"male,Kibaru,Species: caracal,Genus: Caracal,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Caracal,Cat"
Giant Panda,NZP-20070705-593MM,"Tai Shan,Bamboo,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,male,Giant Panda,Bear,yard,outside,horizontal"
Ruppell's Griffon Vulture,NZP-20160731-001GM,"Species: rueppellii,Genus: Gyps,Family: Accipitridae,Order: Falconiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Ruppell's Griffon Vulture,Vulture,Bird,Bird of Prey,Tuck,male"
Schmidt's Red-tailed Monkey,NZP-20150909-0211MM,"Class: Mammalia,Family: Cercopithecidae,Genus: Cercopithecus,Kingdom: Animalia,Monkey,Order: Primates,Phylum: Chordata,Primate,Red-tailed Guenon,Schmidt's Red-tailed Monkey,Species: ascanius,Think Tank"
Naked Mole-rat,NZP-20111005-162MM-000001,"Species: glaber,Genus: Heterocephalus,Family: Bathyergidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Mole-rat,Naked Mole-rat,Rodent,SMH,Small Mammal House"
Red-crowned Crane,NZP-20140925-40953JA,"Front Royal,SCBI,Species: japonensis,Genus: Grus,Family: Gruidae,Order: Gruiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Bird,Crane"
Chinchilla,NZP-20141121-023CPM-000001,"Species: lanigera,Genus: Chinchilla,Family: Chinchillidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Chinchilla,Rodent,SMH,Small Mammal House,horizontal"
Sumatran Tiger,NZP-20040809-306JC,"Species: tigris sumatrae,Genus: Panthera,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Cat,Tiger,Sumatran Tiger,horizontal,cub,young,baby"
Stanley Crane,NZP-20080827-419JC,"Species: paradiseus,Genus: Anthropoides,Family: Gruidae,Order: Gruiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,head,Bird,Crane"
Giant Panda,NZP-20070912-326MM,Tai Shan Species: melanoleuca Genus: Ailuropoda Family: Ursidae Order: Carnivora Class: Mammalia Phylum: Chordata Kingdom: Animalia
Screaming Hairy Armadillo,NZP-20141122-4563CN,"SMH,Small Mammal House,Species: vellerosus,Genus: Chaetophractus,Family: Dasypodidae,Order: Cingulata,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,mammal,edentate,horizontal,Armadillo,Edentate,Xenarthara,Screaming hairy armadillo"
Giant Panda,NZP-20180608-137SB,"Tian Tian,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Bear,Asia Trail,Giant Panda"
Timor Python,NZP-20141217-007CPM-000002,"Species: timoriensis,Genus: Python,Family: Pythonidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,snake,Reptile house"
